Customer_ID,Gender,Age,Annual_Income (k$),Spending Score (1-100),Date
1,Male,19,15,39,03-05-2024
2,Male,21,15,81,04-05-2024
3,Female,20,16,6,05-05-2024
4,Female,23,16,77,06-05-2024
5,Female,31,17,40,07-05-2024
6,Female,22,17,76,08-05-2024
7,Female,35,18,6,09-05-2024
8,Female,23,18,94,10-05-2024
9,Male,64,19,3,11-05-2024
10,Female,30,19,72,12-05-2024
11,Male,67,19,14,13-05-2024
12,Female,35,19,99,14-05-2024
13,Female,58,20,15,15-05-2024
14,Female,24,20,77,16-05-2024
15,Male,37,20,13,17-05-2024
16,Male,22,20,79,18-05-2024
17,Female,35,21,35,19-05-2024
18,Male,20,21,66,20-05-2024
19,Male,52,23,29,21-05-2024
20,Female,35,23,98,22-05-2024
21,Male,35,24,35,23-05-2024
22,Male,25,24,73,24-05-2024
23,Female,46,25,5,25-05-2024
24,Male,31,25,73,26-05-2024
25,Female,54,28,14,27-05-2024
26,Male,29,28,82,28-05-2024
27,Female,45,28,32,29-05-2024
28,Male,35,28,61,30-05-2024
29,Female,40,29,31,31-05-2024
30,Female,23,29,87,01-06-2024
31,Male,60,30,4,02-06-2024
32,Female,21,30,73,03-06-2024
33,Male,53,33,4,04-06-2024
34,Male,18,33,92,05-06-2024
35,Female,49,33,14,06-06-2024
36,Female,21,33,81,07-06-2024
37,Female,42,34,17,08-06-2024
38,Female,30,34,73,09-06-2024
39,Female,36,37,26,10-06-2024
40,Female,20,37,75,11-06-2024
41,Female,65,38,35,12-06-2024
42,Male,24,38,92,13-06-2024
43,Male,48,39,36,14-06-2024
44,Female,31,39,61,15-06-2024
45,Female,49,39,28,16-06-2024
46,Female,24,39,65,17-06-2024
47,Female,50,40,55,18-06-2024
48,Female,27,40,47,19-06-2024
49,Female,29,40,42,20-06-2024
50,Female,31,40,42,21-06-2024
51,Female,49,42,52,22-06-2024
52,Male,33,42,60,23-06-2024
53,Female,31,43,54,24-06-2024
54,Male,59,43,60,25-06-2024
55,Female,50,43,45,26-06-2024
56,Male,47,43,41,27-06-2024
57,Female,51,44,50,28-06-2024
58,Male,69,44,46,29-06-2024
59,Female,27,46,51,30-06-2024
60,Male,53,46,46,01-07-2024
